Project,Key,T,Status,P,Labels,Test Case Cycle,Test Case Sprint,Test Type,TestRunStatus,Links,TestCase ID,Summary,Description,Test Step ID,Action,Data,Exepected Result
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-252,TS_TA_252_Verify user can login to BZMS portal  ,"Verify user can login to BZMS portal

Pre-requisite: Foreign Trader has valid credentials",TS-01,Login to BZMS portal,Valid username/password,User successfully logs into BZMS portal
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-253,TS_TA_253_Verify user can navigate to Authorization Request form  ,"Verify user can navigate to Authorization Request form

Pre-requisite: User logged into BZMS portal",TS-01,Navigate to Authorization Request page,,Authorization Request form displayed
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-254,TS_TA_254_Verify user can select active zone profile and components  ,"Verify user can select active zone profile and components

Pre-requisite: Active Zone Profiles available",TS-01,Select zone profile and components,"Zone Profile A, Component X",Selected zones/components accepted
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-255,TS_TA_255_Verify error when user submits request without selecting any zone/component  ,"Verify error when user submits request without selecting any zone/component

Pre-requisite: Authorization Request form open",TS-01,Submit request without selections,No zones/components selected,"Error displayed: ""Please select at least one zone or component"""
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-256,TS_TA_256_Verify Authorization Request is routed to BZ Operator after submission  ,"Verify Authorization Request is routed to BZ Operator after submission

Pre-requisite: Request submitted",TS-01,Submit Authorization Request,Valid request details,"Request status set to ""Submitted"" and routed to BZ Operator"
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-257,TS_TA_257_Verify BZ Operator can approve Authorization Request  ,"Verify BZ Operator can approve Authorization Request

Pre-requisite: Request received by BZ Operator",TS-01,Log in as BZ Operator and approve request,Request ID XYZ,"Request status updated to ""Approved by BZ Operator"" and routed to Registration Officer"
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-258,TS_TA_258_Verify BZ Operator can reject Authorization Request  ,"Verify BZ Operator can reject Authorization Request

Pre-requisite: Request received by BZ Operator",TS-01,Log in as BZ Operator and reject request,"Request ID XYZ, Reason for rejection","Request status updated to ""Rejected"" with reason; notification sent to Foreign Trader"
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-259,TS_TA_259_Verify BZ Operator can request more information  ,"Verify BZ Operator can request more information

Pre-requisite: Request received by BZ Operator",TS-01,"Mark request as ""Pending - More Information Required""",Missing information details,Request status updated and notification sent to Foreign Trader with required details
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-260,TS_TA_260_Verify Foreign Trader can resubmit Authorization Request after info request  ,"Verify Foreign Trader can resubmit Authorization Request after info request

Pre-requisite: Request status ""Pending - More Information Required""",TS-01,Edit and resubmit Authorization Request,Updated request details,Request resubmitted and routed again to BZ Operator
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-261,TS_TA_261_Verify Foreign Trader receives submission acknowledgment notification  ,"Verify Foreign Trader receives submission acknowledgment notification

Pre-requisite: Authorization Request submitted",TS-01,Submit Authorization Request,Valid request ID,Foreign Trader receives email/SMS/in-app notification with Request-ID
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-262,TS_TA_262_Verify BZ Operator receives new Authorization Request notification  ,"Verify BZ Operator receives new Authorization Request notification

Pre-requisite: Authorization Request submitted",TS-01,Submit Authorization Request,,BZ Operator receives notification of new request
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-263,TS_TA_263_Verify Foreign Trader receives notification of BZ Operator approval  ,"Verify Foreign Trader receives notification of BZ Operator approval

Pre-requisite: Request approved by BZ Operator",TS-01,Approve request as BZ Operator,,Foreign Trader notified of approval and request under Registration Officer review
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-264,TS_TA_264_Verify only active Zone Profiles/components are selectable  ,"Verify only active Zone Profiles/components are selectable

Pre-requisite: System has active/inactive zones",TS-01,Attempt to select inactive Zone Profile,Inactive Zone Profile,Inactive zones/components cannot be selected
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-265,TS_TA_265_Verify Trader authorization only allows permitted actions on approved zones  ,"Verify Trader authorization only allows permitted actions on approved zones

Pre-requisite: Authorization granted",TS-01,Perform entry/exit ticket actions on approved zone,Approved Zone Profile and components,Actions succeed only on authorized zones/components
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-266,TS_TA_266_Verify system suspends authorization if zone/component becomes frozen  ,"Verify system suspends authorization if zone/component becomes frozen

Pre-requisite: Zone becomes frozen",TS-01,Perform action after zone freeze,Frozen Zone Profile,Authorization suspended after current transactions complete; actions blocked
BZMS QA ,,Test,QA Backlog,Low,BZMS,SIT 1,Sprint 1,Manual,TODO,TDD-11025,TC-267,TS_TA_267_Verify all authorization requests and decisions are logged  ,"Verify all authorization requests and decisions are logged

Pre-requisite: Requests submitted and processed",TS-01,"Submit, approve, reject authorization requests",,"Audit trail records user ID, timestamps, status, and comments"
